Title,Category
Fully Empowered (New Directions Paperbook) (English and Spanish Edition),"Poetry , Anthologies (multiple authors)"
The Odyssey (Barnes & Noble Classics),"Poetry , Ancient & Classical"
You're Just Like a Sister to Me: Poems Celebrating the Special Friendships That Women Share,"Poetry , Anthologies (multiple authors)"
Edna St. Vincent Millay: Collected Lyrics,"Poetry , American , General"
"Revolution on Canvas, Volume 1: Poetry from the Indie Music Scene","Poetry , Anthologies (multiple authors)"
Insectlopedia: Poems and Paintings,"Juvenile Nonfiction , Poetry , Humorous"
Walden and Civil Disobedience (Barnes & Noble Classics),"Poetry , American , General"
Thoughts To Share With A Wonderful Teenager: A Blue Mountain Arts Collection,"Poetry , Subjects & Themes , Inspirational & Religious"
"The Penguin Book of First World War Poetry: Revised Edition (Classic, 20th-Century, Penguin)","Poetry , Anthologies (multiple authors)"
What Lips My Lips Have Kissed: The Loves and Love Poems of Edna St. Vincent Millay,"Poetry , General"
The Aeneid of Virgil (Bantam Classics),"Poetry , Ancient & Classical"
Can Poetry Matter?: Essays on Poetry and American Culture,"Literary Criticism , Poetry"
Walk On The Wild Side,"Poetry , American , General"
Tell me the truth about love; ten poems.,"Poetry , Anthologies (multiple authors)"
Collected Poems of John Donne (Wordsworth Poetry Library),"Poetry , General"
Awful Ogre's Awful Day,"Juvenile Nonfiction , Poetry , Humorous"
Robert Frost's Poems,"Poetry , General"
Dark Wild Realm,"Poetry , American , General"
Everyone Needs Someone,"Poetry , General"
Poetry: A Pocket Anthology (Penguin Academics),"Literary Criticism , Poetry"
The Song of Hiawatha (Everyman's Library),"Poetry , American , General"
The Collected Poems of Rudyard Kipling (Wordsworth Poetry Library),"Poetry , General"
Medieval English Verse (Penguin Classics),"Poetry , Anthologies (multiple authors)"
Where the Deer Were: Poems,"Poetry , General"
365 Love Poems,"Poetry , General"
Even Poets Dance,"Literary Criticism , Poetry"
The Bug in Teacher's Coffee: And Other School Poems (I Can Read Level 2),"Juvenile Nonfiction , Poetry , Humorous"
Beowulf: A Prose Translation (Penguin Classics)paperback,"Poetry , European , English, Irish, Scottish, Welsh"
The Odyssey (Wordsworth Classics),"Poetry , Ancient & Classical"
Songs of Innocence and Experience,"Poetry , General"
Treasures of Love and Inspiration,"Poetry , General"
The Rubai'yat of Omar Khayyam,"Poetry , General"
I Love You,"Poetry , American , General"
Another Language: Poetry,"Poetry , American , General"
How to Eat a Poem: A Smorgasbord of Tasty and Delicious Poems for Young Readers (Dover Children's Classics),"Juvenile Nonfiction , Poetry , General"
The Best American Poetry 2009: Series Editor David Lehman (The Best American Poetry series),"Poetry , Anthologies (multiple authors)"
"The Best American Poetry 2008: Series Editor David Lehman, Guest Editor Charles Wright","Poetry , Anthologies (multiple authors)"
The Great Poems of the Bible: A Reader's Companion with New Translations,"Poetry , Subjects & Themes , Inspirational & Religious"
One Hundred Great Poems By Women,"Poetry , General"
A Bad Case of the Giggles: Poems That Will Make You Laugh Out Loud (Giggle Poetry),"Juvenile Nonfiction , Poetry , Humorous"
Awful Ogre's Awful Day,"Juvenile Nonfiction , Poetry , Humorous"
The Harper Anthology of Poetry,"Poetry , General"
Sailing Alone Around the Room: New and Selected Poems,"Poetry , American , General"
Lovingly: Poems for All Seasons,"Poetry , General"
Mostly True: Collected Stories & Drawings,"Poetry , General"
Poems of Love and Faith (A Little Treasury of Gold),"Poetry , General"
The Lady with the Alligator Purse,"Juvenile Nonfiction , Poetry , Humorous"
